Regulator	Target	MI	pvalue
ENSG00000187778	ENSG00000164405	0.3272866938886099	0.0
ENSG00000172534	ENSG00000225234	0.41924782244739284	0.0
ENSG00000147162	ENSG00000259562	0.3835346498816909	0.0
ENSG00000187778	ENSG00000138111	0.41718726280951607	0.0
ENSG00000147162	ENSG00000198089	0.3762348659047318	0.0
ENSG00000187778	ENSG00000103496	0.37248628851902726	0.0
ENSG00000187778	ENSG00000165733	0.42148900361228964	0.0
ENSG00000103510	ENSG00000205629	0.42310000450529245	0.0
ENSG00000147162	ENSG00000261879	0.3747332149313786	0.0
ENSG00000196363	ENSG00000173950	0.4022412501458983	0.0
ENSG00000172534	ENSG00000177082	0.3605886126173086	0.0
ENSG00000187778	ENSG00000165724	0.47422253818857946	0.0
ENSG00000103510	ENSG00000132153	0.4246748421954465	0.0
ENSG00000196363	ENSG00000121022	0.46100172103316195	0.0
ENSG00000196363	ENSG00000145016	0.6375156885329244	0.0
ENSG00000196363	ENSG00000123685	0.3171000113308735	9.78550573904613E-12
ENSG00000196363	ENSG00000160633	0.6556950747460458	0.0
ENSG00000120071	ENSG00000189091	0.4543394216952294	0.0
ENSG00000103510	ENSG00000144134	0.3866314807130526	0.0
ENSG00000147162	ENSG00000260534	0.4011435413875814	0.0
ENSG00000196363	ENSG00000171311	0.4736777636649181	0.0
ENSG00000187778	ENSG00000213920	0.3756418408637911	0.0
ENSG00000187778	ENSG00000165757	0.33695356117997294	0.0
ENSG00000103510	ENSG00000158773	0.46341391733517157	0.0
ENSG00000187778	ENSG00000153774	0.34264068724033997	0.0
ENSG00000196363	ENSG00000171302	0.418315405538634	0.0
ENSG00000120071	ENSG00000250251	0.4013039786708459	0.0
ENSG00000196363	ENSG00000171307	0.5522251607967655	0.0
ENSG00000120071	ENSG00000226562	0.35646565696714577	0.0
ENSG00000196363	ENSG00000172660	0.3655346361431606	0.006789634451447757
ENSG00000196363	ENSG00000160688	0.5444012891920075	0.0
ENSG00000196363	ENSG00000184640	0.34525194687308686	1.957101147809226E-11
ENSG00000196363	ENSG00000157020	0.42088100513368565	0.0
ENSG00000147162	ENSG00000198039	0.5607968757260897	0.0
ENSG00000196363	ENSG00000135632	0.48299113941444266	0.0
ENSG00000187778	ENSG00000140406	0.38774042476297993	0.0
ENSG00000187778	ENSG00000213930	0.33634098960828573	0.0
ENSG00000187778	ENSG00000126107	0.5324204933581614	0.0
ENSG00000196363	ENSG00000136950	0.45288019403811874	0.0
ENSG00000172534	ENSG00000141084	0.3936629663712947	0.0
ENSG00000187778	ENSG00000139428	0.34778267980713123	0.0
ENSG00000196363	ENSG00000100991	0.4283652116703627	0.0
ENSG00000196363	ENSG00000111640	0.4877416727004224	0.0
ENSG00000187778	ENSG00000141759	0.40138743967762186	0.0
ENSG00000187778	ENSG00000138107	0.5807809039473099	0.0
ENSG00000196363	ENSG00000197951	0.49194104917275033	0.0
ENSG00000187778	ENSG00000138100	0.3366939595558772	0.0
ENSG00000196363	ENSG00000160695	0.46912111806829626	0.0
ENSG00000196363	ENSG00000111653	0.5037044607738753	0.0
ENSG00000196363	ENSG00000112983	0.4201050979267894	0.0
ENSG00000196363	ENSG00000136930	0.4864723414617544	0.0
ENSG00000187778	ENSG00000163159	0.4492683395744192	0.0
ENSG00000187778	ENSG00000151176	0.4227385667769554	0.0
ENSG00000187778	ENSG00000176472	0.3950807663100657	0.0
ENSG00000187778	ENSG00000176473	0.4598810847887083	0.0
ENSG00000196363	ENSG00000205250	0.6435932467122543	0.0
ENSG00000172534	ENSG00000181982	0.4357079085151062	0.0
ENSG00000187778	ENSG00000187135	0.3911734348901369	0.0
ENSG00000187778	ENSG00000249915	0.4313273276309183	0.0
ENSG00000187778	ENSG00000163170	0.40067911730331746	0.0
ENSG00000103510	ENSG00000215021	0.3874872661202716	0.0
ENSG00000120071	ENSG00000167674	0.47458455924402887	0.0
ENSG00000187778	ENSG00000225986	0.320889076251715	0.0
ENSG00000187778	ENSG00000225978	0.3475433609580788	0.0
ENSG00000187778	ENSG00000187118	0.32991833957785677	0.0
ENSG00000147162	ENSG00000163374	0.39064116432265666	0.0
ENSG00000187778	ENSG00000175137	0.5114509294119891	0.0
ENSG00000196363	ENSG00000063438	0.32097211359846917	0.0
ENSG00000187778	ENSG00000163161	0.5358948772965592	0.0
ENSG00000172534	ENSG00000129351	0.4884934076340604	0.0
ENSG00000103510	ENSG00000205670	0.3461750516486249	0.0
ENSG00000187778	ENSG00000222019	0.416952713161538	0.0
ENSG00000196363	ENSG00000173915	0.36470235764415	0.0
ENSG00000172534	ENSG00000167625	0.41321726434797124	0.0
ENSG00000187778	ENSG00000152464	0.3416478614842243	3.718492180837529E-11
ENSG00000196363	ENSG00000121073	0.4419153953175278	0.0
ENSG00000103510	ENSG00000231963	0.30918019660822765	0.0
ENSG00000187778	ENSG00000236668	0.3149881755568145	0.0
ENSG00000147162	ENSG00000234225	0.3130444962697548	0.0
ENSG00000147162	ENSG00000164669	0.32098745147393076	0.0
ENSG00000187778	ENSG00000140474	0.5194409615598613	0.0
ENSG00000187778	ENSG00000223343	0.44759598831739716	0.0
ENSG00000147162	ENSG00000211574	0.44732626172988843	0.0
ENSG00000172534	ENSG00000167619	0.41818988681628566	0.0
ENSG00000103510	ENSG00000171720	0.47576519672796214	0.0
ENSG00000187778	ENSG00000261616	0.3477635418107661	0.0
ENSG00000172534	ENSG00000180616	0.3855896437210018	0.0
ENSG00000172534	ENSG00000069188	0.3199379395334021	0.0
ENSG00000187778	ENSG00000175115	0.4332068032762732	0.0
ENSG00000103510	ENSG00000099866	0.3244358471291564	0.0
ENSG00000147162	ENSG00000125084	0.3825367063860587	0.0
ENSG00000172534	ENSG00000141012	0.4066846782366985	0.0
ENSG00000196363	ENSG00000121053	0.3419636862477206	0.0
